AIPGENE25151	KXJ21169.1
AIPGENE25143	KXJ21160.1
AIPGENE25141	KXJ21132.1
AIPGENE25200	KXJ21114.1
AIPGENE25181	KXJ21137.1
AIPGENE25202	KXJ21118.1
AIPGENE25178	KXJ21150.1
AIPGENE25206	KXJ21124.1
AIPGENE25144	KXJ21166.1
AIPGENE25190	KXJ21135.1
AIPGENE25207	KXJ21155.1
AIPGENE25147	KXJ21164.1
AIPGENE25191	KXJ21178.1
AIPGENE25204	KXJ21168.1
AIPGENE25194	KXJ21161.1
AIPGENE25201	KXJ21151.1
AIPGENE25203	KXJ21154.1
AIPGENE25164	KXJ21153.1
AIPGENE25162	KXJ21172.1
AIPGENE25169	KXJ21141.1
AIPGENE25187	KXJ21119.1
AIPGENE25185	KXJ21142.1
AIPGENE25197	KXJ21146.1
AIPGENE5422	KXJ06377.1
AIPGENE22785	KXJ06376.1
AIPGENE22786	KXJ06375.1
AIPGENE19183	KXJ06374.1
AIPGENE12227	KXJ06373.1
AIPGENE12226	KXJ06371.1
AIPGENE12228	KXJ06372.1
AIPGENE19834	KXJ06370.1
AIPGENE19833	KXJ06369.1
AIPGENE25684	KXJ06368.1
AIPGENE25685	KXJ06367.1
AIPGENE25683	KXJ06366.1
AIPGENE12537	KXJ06365.1
AIPGENE12538	KXJ06364.1
AIPGENE7960	KXJ06363.1
AIPGENE5041	KXJ06362.1
AIPGENE5042	KXJ06361.1
AIPGENE27764	KXJ21097.1
AIPGENE27743	KXJ21102.1
AIPGENE27761	KXJ21090.1
AIPGENE27779	KXJ21087.1
AIPGENE27740	KXJ21105.1
AIPGENE27755	KXJ21068.1
AIPGENE27744	KXJ21108.1
AIPGENE27747	KXJ21106.1
AIPGENE27775	KXJ21101.1
AIPGENE27766	KXJ21104.1
AIPGENE27734	KXJ21071.1
AIPGENE27765	KXJ21063.1
AIPGENE27754	KXJ21070.1
AIPGENE27776	KXJ21088.1
AIPGENE27731	KXJ21079.1
AIPGENE27768	KXJ21085.1
AIPGENE27773	KXJ21082.1
AIPGENE27780	KXJ21064.1
AIPGENE27763	KXJ21080.1
AIPGENE27762	KXJ21113.1
AIPGENE27772	KXJ21083.1
AIPGENE27727	KXJ21107.1
AIPGENE27774	KXJ21110.1
AIPGENE27750	KXJ21074.1
AIPGENE27756	KXJ21099.1
AIPGENE27733	KXJ21073.1
AIPGENE27749	KXJ21075.1
AIPGENE27752	KXJ21072.1
AIPGENE27770	KXJ21067.1
AIPGENE27728	KXJ21066.1
AIPGENE27736	KXJ21096.1
AIPGENE27760	KXJ21078.1
AIPGENE27753	KXJ21093.1
AIPGENE27730	KXJ21112.1
AIPGENE27771	KXJ21094.1
AIPGENE27751	KXJ21069.1
AIPGENE27729	KXJ21086.1
AIPGENE27742	KXJ21065.1
AIPGENE27748	KXJ21098.1
AIPGENE27758	KXJ21092.1
AIPGENE27741	KXJ21084.1
AIPGENE27738	KXJ21111.1
AIPGENE27732	KXJ21089.1
AIPGENE27737	KXJ21103.1
AIPGENE27767	KXJ21081.1
AIPGENE27759	KXJ21100.1
AIPGENE27735	KXJ21109.1
AIPGENE27746	KXJ21076.1
AIPGENE27769	KXJ21091.1
AIPGENE27739	KXJ21077.1
AIPGENE27778	KXJ21095.1
AIPGENE8785	KXJ06359.1
AIPGENE8783	KXJ06360.1
AIPGENE7924	KXJ06356.1
AIPGENE7926	KXJ06355.1
AIPGENE7925	KXJ06358.1
AIPGENE7923	KXJ06357.1
AIPGENE7928	KXJ06353.1
AIPGENE7927	KXJ06354.1
AIPGENE17873	KXJ06352.1
AIPGENE27326	KXJ06350.1
AIPGENE27325	KXJ06351.1
AIPGENE12531	KXJ06348.1
AIPGENE12530	KXJ06347.1
AIPGENE12532	KXJ06349.1
AIPGENE17192	KXJ06346.1
AIPGENE7856	KXJ06345.1
